name,url
Blast Smoothies บลาสต์ สมูทตี้,/restaurants/1641015Hp-blast-smoothies-%E0%B8%9A%E0%B8%A5%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B9%8C-%E0%B8%AA%E0%B8%A1%E0%B8%B9%E0%B8%97%E0%B8%95%E0%B8%B5%E0%B9%89-nimman?_st=cD0xO2I9MTY0MTAxNTthZD10cnVlO3Q9MTY4NTE5MzcyMTg3MTtyaT0xWDdha0t2ZEdLeGpqRGpnbElGbmtjbUpFeE81VUE7aT0xWDcwRGVoRGxvZmlhNWkxMjFFc3RPRDh0Y0w1dmQ7d3JlZj1zcjs%3D
Memorize Brownie,/restaurants/332151mu-memorize-brownie-%E0%B8%99%E0%B8%B4%E0%B8%A1%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B9%8C-%E0%B8%8B%E0%B8%AD%E0%B8%A2-12?_st=cD0yMTtiPTMzMjE1MTthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NTQ7cmk9MVg3YWtLdnU4SlBNVWdleUNzQk1HT1VwdTBpcGYwO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Tomato House.cnx,/restaurants/1519058hn-tomato-house-cnx-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%82%E0%B8%8A%E0%B8%84?_st=cD0yMjtiPTE1MTkwNTg7YWQ9ZmFsc2U7dD0xNjg1MTkzODU1OTU0O3JpPTFYN2FrS3Z1NndGck9VVTNCTzczSUw0cmJEM1pqaDtpPTFYNzBEZWhVZXBVZ0tKeFhWdnVqcTV5TmE0UDVhWTt3cmVmPXNyOw%3D%3D
Charin Pie,/restaurants/15300Ga-charin-pie-%E0%B8%99%E0%B8%B4%E0%B8%A1%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%E0%B8%8B%E0%B8%AD%E0%B8%A2-17?_st=cD0yMztiPTE1MzAwO2FkPWZhbHNlO3Q9MTY4NTE5Mzg1NTk1NztyaT0xWDdha0t2dUNaOHVMcFFCdmc4VjdzM2JhRkdGNmY7aT0xWDcwRGVoVWVwVWdLSnhYVnZ1anE1eU5hNFA1YVk7d3JlZj1zcjs%3D
Pizza Plus,/restaurants/161157Cg-pizza-plus-%E0%B8%94%E0%B8%AD%E0%B8%A2%E0%B8%AA%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%94?_st=cD0yNDtiPTE2MTE1NzthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NjU7cmk9MVg3YWtLdnU4QW5qdUxGcmE0ckt6SE96d3l2VjNqO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
The Ironwood,/restaurants/265580uZ-the-ironwood?_st=cD0yNTtiPTI2NTU4MDthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NjU7cmk9MVg3YWtLdnU4TFVGQzgxc3BVdURKR1hxYW1FS0NLO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
CarrotCoffee,/restaurants/1282920sL-carrotcoffee?_st=cD0yNjtiPTEyODI5MjA7YWQ9ZmFsc2U7dD0xNjg1MTkzODU1OTY1O3JpPTFYN2FrS3Z1Q0x4Q3hsZm51SElxOFFHOTJBcmo0YjtpPTFYNzBEZWhVZXBVZ0tKeFhWdnVqcTV5TmE0UDVhWTt3cmVmPXNyOw%3D%3D
Fernpresso Cafe,/restaurants/257098ap-fernpresso-cafe-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AA%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B8%9A%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88?_st=cD0yNztiPTI1NzA5ODthZD1mYWxzZTt0PTE2ODUxOTM4NTU5Njc7cmk9MVg3YWtLdnU3SFFma0JuQWpwTEtJcUFYZUdrdkNxO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Natwat Home Cafe',/restaurants/16706vQ-natwat-home-cafe?_st=cD0yODtiPTE2NzA2O2FkPWZhbHNlO3Q9MTY4NTE5Mzg1NTk2ODtyaT0xWDdha0t2dUN1Q1VYdWg4aVY0ek4zaE84SVVtcm87aT0xWDcwRGVoVWVwVWdLSnhYVnZ1anE1eU5hNFA1YVk7d3JlZj1zcjs%3D
"Rilak Cafe""",/restaurants/1082685jC-rilak-cafe?_st=cD0yOTtiPTEwODI2ODU7YWQ9ZmFsc2U7dD0xNjg1MTkzODU1OTY4O3JpPTFYN2FrS3Z1OFo5dWRIazQ2ckhRQzBjYWo4VGhkaDtpPTFYNzBEZWhVZXBVZ0tKeFhWdnVqcTV5TmE0UDVhWTt3cmVmPXNyOw%3D%3D
Tasty Herb,/restaurants/824783tw-tasty-herb?_st=cD0zMDtiPTgyNDc4MzthZD1mYWxzZTt0PTE2ODUxOTM4NTU5Njg7cmk9MVg3YWtLdnU5bGs3dEh2ZEt5UHBJeXFnYjBSM3ptO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
จิบกาแฟ&แลธรรมฯ เครื่องสำรอง แดนเทวดา,/restaurants/639722fd-%E0%B8%88%E0%B8%B4%E0%B8%9A%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F-%E0%B9%81%E0%B8%A5%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%AF-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B3%E0%B8%A3%E0%B8%AD%E0%B8%87?_st=cD0zMjtiPTYzOTcyMjthZD1mYWxzZTt0PTE2ODUxOTM4NTU5Njk7cmk9MVg3YWtLdnU5eEdWQzhQOGhMSHdtUks1NlBCNzRzO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Charm Bakery,/restaurants/586587JU-charm-bakery-hq?_st=cD0zMztiPTU4NjU4NzthZD1mYWxzZTt0PTE2ODUxOTM4NTU5Njk7cmk9MVg3YWtLdnU2QlIzZFgwRE5IZnFBS201YTVyc2xlO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Krisp Cafe,/restaurants/732013jW-krisp-cafe-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88?_st=cD0zNDtiPTczMjAxMzthZD1mYWxzZTt0PTE2ODUxOTM4NTU5Njk7cmk9MVg3YWtLdnVBQzZGb0dFcXB4TTlBc0tKazZjV1JGO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
8 days a week .,/restaurants/138297Jq-8-days-a-week?_st=cD0zNTtiPTEzODI5NzthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NzA7cmk9MVg3YWtLdnVDaVV0UlE2VnYyVnhqTURuVk9BdEtFO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Once in a Blue Moon Cafe & Hostel,/restaurants/425269zh-once-in-a-blue-moon-cafe-hostel?_st=cD0zNjtiPTQyNTI2OTthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NzA7cmk9MVg3YWtLdnU2U3VERmhIdnZkWE1ydmNCbDZSSnpuO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
BOB Coffee-บ็อบ,/restaurants/1750055Kf-bob-coffee-%E0%B8%9A%E0%B9%87%E0%B8%AD%E0%B8%9A?_st=cD0zNztiPTE3NTAwNTU7YWQ9ZmFsc2U7dD0xNjg1MTkzODU1OTcwO3JpPTFYN2FrS3Z1ODlTNURtWHdFUnVzeW5KcFJEa0llMDtpPTFYNzBEZWhVZXBVZ0tKeFhWdnVqcTV5TmE0UDVhWTt3cmVmPXNyOw%3D%3D
A DAY IN CHIANG MAI COFFEE BREW,/restaurants/adayinchiangmaicoffee?_st=cD0zODtiPTE5NzI5NTthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NzA7cmk9MVg3YWtLdnU4c2liTWxCMFYyRmZQZDdoR3UwS3d5O2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
1's Kitchen Journey,/restaurants/1148972Uq-1-s-kitchen-journey?_st=cD0zOTtiPTExNDg5NzI7YWQ9ZmFsc2U7dD0xNjg1MTkzODU1OTcxO3JpPTFYN2FrS3Z1N2lzakI4YU5WVncwaVlSNW1zRjhnUTtpPTFYNzBEZWhVZXBVZ0tKeFhWdnVqcTV5TmE0UDVhWTt3cmVmPXNyOw%3D%3D
WELLA DA CAFE' ,/restaurants/707976rG-wella-da-cafe-wella-da-cafe?_st=cD00MDtiPTcwNzk3NjthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NzM7cmk9MVg3YWtLdnU4UlZUTElMRFNnNmx4T01GcmZkZlB2O2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
แก้วกาแฟ,/restaurants/177814Zs-%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F?_st=cD00MTtiPTE3NzgxNDthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NzM7cmk9MVg3YWtLdnU3OGJkVzFmYm4xVGJ2TGZ6dVJsTGdKO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
GRAPH,/restaurants/486988Va-graph-ground?_st=cD00MjtiPTQ4Njk4ODthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NzM7cmk9MVg3YWtLdnU4N1VtWTNiU1lOZVFiN0dmV002ZVBlO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
The Barn : Eatery Design,/restaurants/144695xk-the-barn-eatery-design?_st=cD00MztiPTE0NDY5NTthZD1mYWxzZTt0PTE2ODUxOTM4NTU5NzQ7cmk9MVg3YWtLdnU1R203eG42Q09PVVRDZmhWb1Vrb2NUO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Bar Cha - Matcha and Bakery バーチャ,/restaurants/1550489mx-bar-cha-matcha-and-bakery-%E3%83%90%E3%83%BC%E3%83%81%E3%83%A3?_st=cD00NDtiPTE1NTA0ODk7YWQ9ZmFsc2U7dD0xNjg1MTkzODU1OTc0O3JpPTFYN2FrS3Z1QUplTEFpWndta1MyMERIRU4zSUZNRDtpPTFYNzBEZWhVZXBVZ0tKeFhWdnVqcTV5TmE0UDVhWTt3cmVmPXNyOw%3D%3D
Hannah • Hahn,/restaurants/2045072IE-hannah-hahn?_st=cD00NTtiPTIwNDUwNzI7YWQ9ZmFsc2U7dD0xNjg1MTkzODU1OTc1O3JpPTFYN2FrS3Z1QTltRmtidTlCUXZCOHFrNHlKSEZxOTtpPTFYNzBEZWhVZXBVZ0tKeFhWdnVqcTV5TmE0UDVhWTt3cmVmPXNyOw%3D%3D
Kan Vela Crafted Chocolate,/restaurants/676697on-kan-vela-crafted-chocolate?_st=cD00NjtiPTY3NjY5NzthZD1mYWxzZTt0PTE2ODUxOTM4NTU5Nzc7cmk9MVg3YWtLdnU5U0NhWmVvVmNBbUxVeUM5RzJTNWVZO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Chic 39,/restaurants/199845KL-chic-39?_st=cD00NztiPTE5OTg0NTthZD1mYWxzZTt0PTE2ODUxOTM4NTU5Nzc7cmk9MVg3YWtLdnU2OFVRRzk2dkNHeUdXYVpOWWJtWmdSO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
THE STORY 106,/restaurants/1499871ZE-the-story-106?_st=cD00ODtiPTE0OTk4NzE7YWQ9ZmFsc2U7dD0xNjg1MTkzODU1OTc3O3JpPTFYN2FrS3Z1QkxJR1RpOTVield2OElRWHNwMUlqbjtpPTFYNzBEZWhVZXBVZ0tKeFhWdnVqcTV5TmE0UDVhWTt3cmVmPXNyOw%3D%3D
Ging Grai - กิ่งไกร เชียงใหม่,/restaurants/994450io-ging-grai-%E0%B8%81%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B9%84%E0%B8%81%E0%B8%A3-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88?_st=cD00OTtiPTk5NDQ1MDthZD1mYWxzZTt0PTE2ODUxOTM4NTU5Nzg7cmk9MVg3YWtLdnVDZHA5SHhOZE9RTlBkamxQRUFsb1BnO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
All About Coffee,/restaurants/687548WT-all-about-coffee-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88?_st=cD01MDtiPTY4NzU0ODthZD1mYWxzZTt0PTE2ODUxOTM4NTU5Nzg7cmk9MVg3YWtLdnU2dGN4ekRnOUdsUjM0T21VTlJMYUt1O2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Sukhum Craft スクンクラフト,/restaurants/459432sU-sukhum-craft-%E3%82%B9%E3%82%AF%E3%83%B3%E3%82%AF%E3%83%A9%E3%83%95%E3%83%88-%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%94%E0%B8%87?_st=cD01MTtiPTQ1OTQzMjthZD1mYWxzZTt0PTE2ODUxOTM4NTU5ODA7cmk9MVg3YWtLdnVBalBHMEw0UmwzOWUxTXVscUFwREVVO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Chez Nous in town,/restaurants/981935GU-chez-nous-in-town-morespace?_st=cD01MjtiPTk4MTkzNTthZD1mYWxzZTt0PTE2ODUxOTM4NTU5ODA7cmk9MVg3YWtLdnU5YVAzR3FYU1JlSzNsRU5pa1RMY04zO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Rosie.cnx,/restaurants/571778xX-rosie-cnx?_st=cD01MztiPTU3MTc3ODthZD1mYWxzZTt0PTE2ODUxOTM4NTU5ODA7cmk9MVg3YWtLdnU3U3dhWlpTWEtweG45a1FHNW5IT1FWO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
The Volcano,/restaurants/130580lE-the-volcano-%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%87-%E0%B8%A1%E0%B8%8A?_st=cD01NDtiPTEzMDU4MDthZD1mYWxzZTt0PTE2ODUxOTM4NTU5ODE7cmk9MVg3YWtLdnU2cWdzelg4MERUeThBeHp4bUNOQXN2O2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
พาสต้าอาม่า,/restaurants/2063150WJ-%E0%B8%9E%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%AD%E0%B8%B2%E0%B8%A1%E0%B9%88%E0%B8%B2-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88?_st=cD01NTtiPTIwNjMxNTA7YWQ9ZmFsc2U7dD0xNjg1MTkzODU1OTgxO3JpPTFYN2FrS3Z1QzR5WmNDTnlhSnROZENuclF5UUxpRTtpPTFYNzBEZWhVZXBVZ0tKeFhWdnVqcTV5TmE0UDVhWTt3cmVmPXNyOw%3D%3D
ชมนกชมไม้,/restaurants/chom-nok-chom-mai?_st=cD01NjtiPTk3NTY1O2FkPWZhbHNlO3Q9MTY4NTE5Mzg1NTk4NjtyaT0xWDdha0t2dUJxVXhUNVJEZUoyOGFjcHNoUncyQzY7aT0xWDcwRGVoVWVwVWdLSnhYVnZ1anE1eU5hNFA1YVk7d3JlZj1zcjs%3D
GRAPH ,/restaurants/656764Fh-graph-quarter?_st=cD01NztiPTY1Njc2NDthZD1mYWxzZTt0PTE2ODUxOTM4NTU5ODY7cmk9MVg3YWtLdnVCSUxIU2U1WmhPUWEwRkRIbjBvM3BvO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Anda Peka อันดาเภกา,/restaurants/602887GS-anda-peka-%E0%B8%AD%E0%B8%B1%E0%B8%99%E0%B8%94%E0%B8%B2%E0%B9%80%E0%B8%A0%E0%B8%81%E0%B8%B2-%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%9B%E0%B9%88%E0%B8%B2%E0%B8%95%E0%B8%AD%E0%B8%87-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87?_st=cD01ODtiPTYwMjg4NzthZD1mYWxzZTt0PTE2ODUxOTM4NTU5ODY7cmk9MVg3YWtLdnU4dHpqMTVEN1RmVnBHT2dmMktlNHowO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Gateway Coffee Roasters,/restaurants/310236AG-gateway-coffee-roasters?_st=cD01OTtiPTMxMDIzNjthZD1mYWxzZTt0PTE2ODUxOTM4NTU5ODc7cmk9MVg3YWtLdnU4bEZTREFHMEdpZHhGVnRhdklzOWtXO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Kafer house,/restaurants/203808Re-kafer-house?_st=cD02MDtiPTIwMzgwODthZD1mYWxzZTt0PTE2ODUxOTM4NTU5ODc7cmk9MVg3YWtLdnU2TWFKMld1bnQxb25rOWhCRzJheExQO2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
Flips&Flips Home Made Donuts,/restaurants/flips-flips-home-made-donuts?_st=cD02MTtiPTIwNjEwNTthZD1mYWxzZTt0PTE2ODUxOTM4NTU5ODg7cmk9MVg3YWtLdnU2c2hMWldmUVoyMGZoZDFxa0ZHN1d5O2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
The House by Ginger,/restaurants/13472nM-the-house-by-ginger?_st=cD02MjtiPTEzNDcyO2FkPWZhbHNlO3Q9MTY4NTE5Mzg1NTk5MjtyaT0xWDdha0t2dThJNnBUWEhKZXRuS3hHN0hTeTlKQnQ7aT0xWDcwRGVoVWVwVWdLSnhYVnZ1anE1eU5hNFA1YVk7d3JlZj1zcjs%3D
Brewginning,/restaurants/429086aM-brewginning?_st=cD02MztiPTQyOTA4NjthZD1mYWxzZTt0PTE2ODUxOTM4NTYwMDA7cmk9MVg3YWtLdnVCUXZUV214UThmRVMxZWFkQzZyNlY4O2k9MVg3MERlaFVlcFVnS0p4WFZ2dWpxNXlOYTRQNWFZO3dyZWY9c3I7
